Namespace(graph=True, log=True, mnh=True, steps=10000)
Hidden layer number of features: 512
This fold's validation data contains examples from following classes: [ 3.  7.  3.  7.  5.  3.  3.  7.  4.  8.  4.  2.  6.  2.  8.]
Training: Step 1, Minibatch Loss= 4.7522, Training Accuracy= 26.000
Validation: Step 9150, Minibatch Loss= 0.8249, Training Accuracy= 80.000
Training: Step 9200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9200, Minibatch Loss= 0.8286, Training Accuracy= 80.000
Training: Step 9250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9250, Minibatch Loss= 0.8299, Training Accuracy= 80.000
Training: Step 9300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9300, Minibatch Loss= 0.8346, Training Accuracy= 80.000
Training: Step 9350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9350, Minibatch Loss= 0.8332, Training Accuracy= 80.000
Training: Step 9400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9400, Minibatch Loss= 0.8335, Training Accuracy= 80.000
Training: Step 9450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9450, Minibatch Loss= 0.8299, Training Accuracy= 80.000
Training: Step 9500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9500, Minibatch Loss= 0.8321, Training Accuracy= 80.000
Training: Step 9550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9550, Minibatch Loss= 0.8346, Training Accuracy= 80.000
Training: Step 9600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9600, Minibatch Loss= 0.8319, Training Accuracy= 80.000
Training: Step 9650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9650, Minibatch Loss= 0.8346, Training Accuracy= 80.000
Training: Step 9700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9700, Minibatch Loss= 0.8364, Training Accuracy= 80.000
Training: Step 9750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9750, Minibatch Loss= 0.8362, Training Accuracy= 80.000
Training: Step 9800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9800, Minibatch Loss= 0.8346, Training Accuracy= 80.000
Training: Step 9850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9850, Minibatch Loss= 0.8322, Training Accuracy= 80.000
Training: Step 9900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9900, Minibatch Loss= 0.8317, Training Accuracy= 80.000
Training: Step 9950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9950, Minibatch Loss= 0.8278, Training Accuracy= 80.000
Training: Step 10000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 10000, Minibatch Loss= 0.8283, Training Accuracy= 80.000
Optimization Finished!
This fold's validation data contains examples from following classes: [ 2.  5.  8.  3.  8.  2.  2.  3.  2.  2.  4.  5.  6.  7.  2.]
Training: Step 1, Minibatch Loss= 2.4868, Training Accuracy= 36.000
Validation: Step 1, Minibatch Loss= 4.2271, Training Accuracy= 6.667
Training: Step 50, Minibatch Loss= 0.0130, Training Accuracy= 100.000
Validation: Step 50, Minibatch Loss= 1.1626, Training Accuracy= 66.667
Training: Step 100, Minibatch Loss= 0.0014, Training Accuracy= 100.000
Validation: Step 100, Minibatch Loss= 1.0265, Training Accuracy= 60.000
Training: Step 150, Minibatch Loss= 0.0008, Training Accuracy= 100.000
Validation: Step 150, Minibatch Loss= 1.0783, Training Accuracy= 60.000
Training: Step 200, Minibatch Loss= 0.0006, Training Accuracy= 100.000
Validation: Step 200, Minibatch Loss= 1.0920, Training Accuracy= 60.000
Training: Step 250, Minibatch Loss= 0.0005, Training Accuracy= 100.000
Validation: Step 250, Minibatch Loss= 1.1076, Training Accuracy= 66.667
Training: Step 300, Minibatch Loss= 0.0005, Training Accuracy= 100.000
Validation: Step 300, Minibatch Loss= 1.1026, Training Accuracy= 66.667
Training: Step 350, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 350, Minibatch Loss= 1.1248, Training Accuracy= 66.667
Training: Step 400, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 400, Minibatch Loss= 1.0901, Training Accuracy= 66.667
Training: Step 450, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 450, Minibatch Loss= 1.0780, Training Accuracy= 66.667
Training: Step 500, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 500, Minibatch Loss= 1.0865, Training Accuracy= 66.667
Training: Step 550, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 550, Minibatch Loss= 1.0758, Training Accuracy= 66.667
Training: Step 600, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 600, Minibatch Loss= 1.1074, Training Accuracy= 66.667
Training: Step 650, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 650, Minibatch Loss= 1.0871, Training Accuracy= 66.667
Training: Step 700, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 700, Minibatch Loss= 1.0913, Training Accuracy= 66.667
Training: Step 750, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 750, Minibatch Loss= 1.0802, Training Accuracy= 66.667
Training: Step 800, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 800, Minibatch Loss= 1.0753, Training Accuracy= 73.333
Training: Step 850, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 850, Minibatch Loss= 1.0721, Training Accuracy= 73.333
Training: Step 900, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 900, Minibatch Loss= 1.0725, Training Accuracy= 73.333
Training: Step 950, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 950, Minibatch Loss= 1.0588, Training Accuracy= 73.333
Training: Step 1000, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1000, Minibatch Loss= 1.0578, Training Accuracy= 73.333
Training: Step 1050, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1050, Minibatch Loss= 1.0769, Training Accuracy= 73.333
Training: Step 1100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1100, Minibatch Loss= 1.0804, Training Accuracy= 73.333
Training: Step 1150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1150, Minibatch Loss= 1.0775, Training Accuracy= 73.333
Training: Step 1200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1200, Minibatch Loss= 1.0908, Training Accuracy= 73.333
Training: Step 1250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1250, Minibatch Loss= 1.0899, Training Accuracy= 73.333
Training: Step 1300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1300, Minibatch Loss= 1.0853, Training Accuracy= 73.333
Training: Step 1350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1350, Minibatch Loss= 1.0843, Training Accuracy= 73.333
Training: Step 1400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1400, Minibatch Loss= 1.0742, Training Accuracy= 73.333
Training: Step 1450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1450, Minibatch Loss= 1.0699, Training Accuracy= 73.333
Training: Step 1500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1500, Minibatch Loss= 1.0764, Training Accuracy= 73.333
Training: Step 1550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1550, Minibatch Loss= 1.0754, Training Accuracy= 73.333
Training: Step 1600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1600, Minibatch Loss= 1.0763, Training Accuracy= 66.667
Training: Step 1650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1650, Minibatch Loss= 1.0849, Training Accuracy= 73.333
Training: Step 1700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1700, Minibatch Loss= 1.0778, Training Accuracy= 66.667
Training: Step 1750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1750, Minibatch Loss= 1.0833, Training Accuracy= 73.333
Training: Step 1800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1800, Minibatch Loss= 1.0784, Training Accuracy= 73.333
Training: Step 1850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1850, Minibatch Loss= 1.0793, Training Accuracy= 73.333
Training: Step 1900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1900, Minibatch Loss= 1.0762, Training Accuracy= 73.333
Training: Step 1950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1950, Minibatch Loss= 1.0723, Training Accuracy= 73.333
Training: Step 2000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2000, Minibatch Loss= 1.0763, Training Accuracy= 73.333
Training: Step 2050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2050, Minibatch Loss= 1.0755, Training Accuracy= 73.333
Training: Step 2100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2100, Minibatch Loss= 1.0770, Training Accuracy= 73.333
Training: Step 2150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2150, Minibatch Loss= 1.0725, Training Accuracy= 73.333
Training: Step 2200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2200, Minibatch Loss= 1.0744, Training Accuracy= 73.333
Training: Step 2250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2250, Minibatch Loss= 1.0766, Training Accuracy= 73.333
Training: Step 2300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2300, Minibatch Loss= 1.0797, Training Accuracy= 73.333
Training: Step 2350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2350, Minibatch Loss= 1.0819, Training Accuracy= 73.333
Training: Step 2400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2400, Minibatch Loss= 1.0813, Training Accuracy= 73.333
Training: Step 2450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2450, Minibatch Loss= 1.0759, Training Accuracy= 73.333
Training: Step 2500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2500, Minibatch Loss= 1.0798, Training Accuracy= 73.333
Training: Step 2550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2550, Minibatch Loss= 1.0821, Training Accuracy= 73.333
Training: Step 2600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2600, Minibatch Loss= 1.0762, Training Accuracy= 73.333
Training: Step 2650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2650, Minibatch Loss= 1.0714, Training Accuracy= 73.333
Training: Step 2700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2700, Minibatch Loss= 1.0740, Training Accuracy= 73.333
Training: Step 2750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2750, Minibatch Loss= 1.0811, Training Accuracy= 73.333
Training: Step 2800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2800, Minibatch Loss= 1.0836, Training Accuracy= 73.333
Training: Step 2850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2850, Minibatch Loss= 1.0847, Training Accuracy= 73.333
Training: Step 2900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2900, Minibatch Loss= 1.0876, Training Accuracy= 73.333
Training: Step 2950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2950, Minibatch Loss= 1.0896, Training Accuracy= 73.333
Training: Step 3000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3000, Minibatch Loss= 1.0882, Training Accuracy= 73.333
Training: Step 3050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3050, Minibatch Loss= 1.0827, Training Accuracy= 73.333
Training: Step 3100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3100, Minibatch Loss= 1.0901, Training Accuracy= 73.333
Training: Step 3150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3150, Minibatch Loss= 1.0853, Training Accuracy= 73.333
Training: Step 3200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3200, Minibatch Loss= 1.0861, Training Accuracy= 73.333
Training: Step 3250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3250, Minibatch Loss= 1.0902, Training Accuracy= 73.333
Training: Step 3300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3300, Minibatch Loss= 1.0911, Training Accuracy= 73.333
Training: Step 3350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3350, Minibatch Loss= 1.0889, Training Accuracy= 73.333
Training: Step 3400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3400, Minibatch Loss= 1.0842, Training Accuracy= 73.333
Training: Step 3450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3450, Minibatch Loss= 1.0839, Training Accuracy= 73.333
Training: Step 3500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3500, Minibatch Loss= 1.0898, Training Accuracy= 73.333
Training: Step 3550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3550, Minibatch Loss= 1.0933, Training Accuracy= 73.333
Training: Step 3600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3600, Minibatch Loss= 1.0871, Training Accuracy= 73.333
Training: Step 3650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3650, Minibatch Loss= 1.0895, Training Accuracy= 73.333
Training: Step 3700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3700, Minibatch Loss= 1.0895, Training Accuracy= 73.333
Training: Step 3750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3750, Minibatch Loss= 1.0870, Training Accuracy= 73.333
Training: Step 3800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3800, Minibatch Loss= 1.0892, Training Accuracy= 73.333
Training: Step 3850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3850, Minibatch Loss= 1.0909, Training Accuracy= 73.333
Training: Step 3900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3900, Minibatch Loss= 1.1034, Training Accuracy= 73.333
Training: Step 3950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3950, Minibatch Loss= 1.1060, Training Accuracy= 73.333
Training: Step 4000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4000, Minibatch Loss= 1.1079, Training Accuracy= 73.333
Training: Step 4050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4050, Minibatch Loss= 1.1024, Training Accuracy= 73.333
Training: Step 4100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4100, Minibatch Loss= 1.0970, Training Accuracy= 73.333
Training: Step 4150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4150, Minibatch Loss= 1.1038, Training Accuracy= 73.333
Training: Step 4200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4200, Minibatch Loss= 1.1058, Training Accuracy= 73.333
Training: Step 4250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4250, Minibatch Loss= 1.1056, Training Accuracy= 73.333
Training: Step 4300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4300, Minibatch Loss= 1.0971, Training Accuracy= 73.333
Training: Step 4350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4350, Minibatch Loss= 1.0989, Training Accuracy= 73.333
Training: Step 4400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4400, Minibatch Loss= 1.1027, Training Accuracy= 73.333
Training: Step 4450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4450, Minibatch Loss= 1.0987, Training Accuracy= 73.333
Training: Step 4500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4500, Minibatch Loss= 1.1038, Training Accuracy= 73.333
Training: Step 4550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4550, Minibatch Loss= 1.1055, Training Accuracy= 73.333
Training: Step 4600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4600, Minibatch Loss= 1.1014, Training Accuracy= 73.333
Training: Step 4650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4650, Minibatch Loss= 1.1114, Training Accuracy= 73.333
Training: Step 4700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4700, Minibatch Loss= 1.1173, Training Accuracy= 73.333
Training: Step 4750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4750, Minibatch Loss= 1.1120, Training Accuracy= 73.333
Training: Step 4800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4800, Minibatch Loss= 1.1134, Training Accuracy= 73.333
Training: Step 4850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4850, Minibatch Loss= 1.1085, Training Accuracy= 73.333
Training: Step 4900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4900, Minibatch Loss= 1.1046, Training Accuracy= 73.333
Training: Step 4950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4950, Minibatch Loss= 1.1079, Training Accuracy= 73.333
Training: Step 5000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5000, Minibatch Loss= 1.1062, Training Accuracy= 73.333
Training: Step 5050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5050, Minibatch Loss= 1.1012, Training Accuracy= 73.333
Training: Step 5100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5100, Minibatch Loss= 1.1037, Training Accuracy= 73.333
Training: Step 5150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5150, Minibatch Loss= 1.1134, Training Accuracy= 73.333
Training: Step 5200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5200, Minibatch Loss= 1.1145, Training Accuracy= 73.333
Training: Step 5250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5250, Minibatch Loss= 1.1245, Training Accuracy= 73.333
Training: Step 5300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5300, Minibatch Loss= 1.1222, Training Accuracy= 73.333
Training: Step 5350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5350, Minibatch Loss= 1.1156, Training Accuracy= 73.333
Training: Step 5400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5400, Minibatch Loss= 1.1112, Training Accuracy= 73.333
Training: Step 5450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5450, Minibatch Loss= 1.1139, Training Accuracy= 73.333
Training: Step 5500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5500, Minibatch Loss= 1.1255, Training Accuracy= 66.667
Training: Step 5550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5550, Minibatch Loss= 1.1225, Training Accuracy= 66.667
Training: Step 5600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5600, Minibatch Loss= 1.1231, Training Accuracy= 66.667
Training: Step 5650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5650, Minibatch Loss= 1.1245, Training Accuracy= 66.667
Training: Step 5700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5700, Minibatch Loss= 1.1280, Training Accuracy= 66.667
Training: Step 5750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5750, Minibatch Loss= 1.1391, Training Accuracy= 66.667
Training: Step 5800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5800, Minibatch Loss= 1.1287, Training Accuracy= 66.667
Training: Step 5850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5850, Minibatch Loss= 1.1272, Training Accuracy= 66.667
Training: Step 5900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5900, Minibatch Loss= 1.1407, Training Accuracy= 66.667
Training: Step 5950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5950, Minibatch Loss= 1.1473, Training Accuracy= 66.667
Training: Step 6000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6000, Minibatch Loss= 1.1356, Training Accuracy= 60.000
Training: Step 6050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6050, Minibatch Loss= 1.1404, Training Accuracy= 60.000
Training: Step 6100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6100, Minibatch Loss= 1.1316, Training Accuracy= 60.000
Training: Step 6150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6150, Minibatch Loss= 1.1426, Training Accuracy= 60.000
Training: Step 6200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6200, Minibatch Loss= 1.1354, Training Accuracy= 60.000
Training: Step 6250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6250, Minibatch Loss= 1.1444, Training Accuracy= 60.000
Training: Step 6300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6300, Minibatch Loss= 1.1386, Training Accuracy= 60.000
Training: Step 6350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6350, Minibatch Loss= 1.1455, Training Accuracy= 60.000
Training: Step 6400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6400, Minibatch Loss= 1.1456, Training Accuracy= 60.000
Training: Step 6450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6450, Minibatch Loss= 1.1440, Training Accuracy= 60.000
Training: Step 6500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6500, Minibatch Loss= 1.1422, Training Accuracy= 60.000
Training: Step 6550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6550, Minibatch Loss= 1.1385, Training Accuracy= 60.000
Training: Step 6600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6600, Minibatch Loss= 1.1417, Training Accuracy= 60.000
Training: Step 6650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6650, Minibatch Loss= 1.1367, Training Accuracy= 60.000
Training: Step 6700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6700, Minibatch Loss= 1.1411, Training Accuracy= 60.000
Training: Step 6750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6750, Minibatch Loss= 1.1458, Training Accuracy= 60.000
Training: Step 6800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6800, Minibatch Loss= 1.1447, Training Accuracy= 60.000
Training: Step 6850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6850, Minibatch Loss= 1.1446, Training Accuracy= 60.000
Training: Step 6900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6900, Minibatch Loss= 1.1421, Training Accuracy= 60.000
Training: Step 6950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6950, Minibatch Loss= 1.1403, Training Accuracy= 60.000
Training: Step 7000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7000, Minibatch Loss= 1.1363, Training Accuracy= 60.000
Training: Step 7050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7050, Minibatch Loss= 1.1341, Training Accuracy= 60.000
Training: Step 7100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7100, Minibatch Loss= 1.1305, Training Accuracy= 60.000
Training: Step 7150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7150, Minibatch Loss= 1.1351, Training Accuracy= 60.000
Training: Step 7200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7200, Minibatch Loss= 1.1366, Training Accuracy= 60.000
Training: Step 7250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7250, Minibatch Loss= 1.1388, Training Accuracy= 60.000
Training: Step 7300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7300, Minibatch Loss= 1.1315, Training Accuracy= 60.000
Training: Step 7350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7350, Minibatch Loss= 1.1226, Training Accuracy= 60.000
Training: Step 7400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7400, Minibatch Loss= 1.1239, Training Accuracy= 60.000
Training: Step 7450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7450, Minibatch Loss= 1.1167, Training Accuracy= 60.000
Training: Step 7500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7500, Minibatch Loss= 1.1209, Training Accuracy= 60.000
Training: Step 7550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7550, Minibatch Loss= 1.1260, Training Accuracy= 60.000
Training: Step 7600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7600, Minibatch Loss= 1.1228, Training Accuracy= 60.000
Training: Step 7650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7650, Minibatch Loss= 1.1167, Training Accuracy= 60.000
Training: Step 7700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7700, Minibatch Loss= 1.1157, Training Accuracy= 60.000
Training: Step 7750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7750, Minibatch Loss= 1.1132, Training Accuracy= 60.000
Training: Step 7800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7800, Minibatch Loss= 1.1104, Training Accuracy= 66.667
Training: Step 7850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7850, Minibatch Loss= 1.1187, Training Accuracy= 60.000
Training: Step 7900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7900, Minibatch Loss= 1.1228, Training Accuracy= 60.000
Training: Step 7950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7950, Minibatch Loss= 1.1273, Training Accuracy= 60.000
Training: Step 8000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8000, Minibatch Loss= 1.1261, Training Accuracy= 60.000
Training: Step 8050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8050, Minibatch Loss= 1.1281, Training Accuracy= 60.000
Training: Step 8100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8100, Minibatch Loss= 1.1301, Training Accuracy= 60.000
Training: Step 8150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8150, Minibatch Loss= 1.1259, Training Accuracy= 66.667
Training: Step 8200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8200, Minibatch Loss= 1.1365, Training Accuracy= 60.000
Training: Step 8250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8250, Minibatch Loss= 1.1390, Training Accuracy= 60.000
Training: Step 8300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
